catId;catName;catParent;catPosition;catIsProductCatalogueEnabled
26013;Antyki i Sztuka;0;0;false
98553;Bilety;0;1;false
64477;Biuro i Reklama;0;2;false
19732;Biżuteria i Zegarki;0;3;false
73973;Delikatesy;0;4;false
11763;Dla Dzieci;0;5;false
5;Dom i Ogród;0;6;false
63757;Erotyka;0;7;false
20585;Filmy;0;8;false
8845;Fotografia;0;9;false
9;Gry;0;10;false
122640;Instrumenty;0;11;false
6;Kolekcje;0;12;false
2;Komputery;0;13;false
122233;Konsole i automaty;0;14;false
7;Książki i Komiksy;0;15;false
3;Motoryzacja;0;16;false
1;Muzyka;0;17;false
20782;Nieruchomości;0;18;false
1454;Odzież, Obuwie, Dodatki;0;19;false
16696;Przemysł;0;20;false
76593;Rękodzieło;0;21;false
10;RTV i AGD;0;22;false
3919;Sport i Turystyka;0;23;false
122332;Sprzęt estradowy, studyjny i DJ-ski;0;24;false
4;Telefony i Akcesoria;0;25;false
1429;Uroda;0;26;false
55067;Wakacje;0;27;false
121882;Zdrowie;0;28;false
175;Płyty kompaktowe;1;0;false
279;Płyty winylowe;1;1;false
194;Kasety audio;1;2;false
20760;Gadżety muzyczne;1;3;false
12825;Akcesoria;1;4;false
253047;Usługi;1;5;false
497;Akcesoria (Laptop, PC);2;0;false
77801;Części do laptopów;2;1;false
4578;Drukarki i skanery;2;2;false
4475;Dyski i napędy;2;3;false
4395;Dźwięk;2;4;false
15821;Internet;2;5;false
486;Komputery stacjonarne;2;6;false
4413;Komunikacja i łączność;2;7;false
491;Laptopy;2;8;false
62998;Netbooki;2;9;false
4312;Obraz i grafika;2;10;false
4551;Obudowy i zasilanie;2;11;false
68;Oprogramowanie;2;12;false
27749;Palmtopy;2;13;false
4226;Podzespoły bazowe;2;14;false
9060;Serwery i SCSI;2;15;false
89253;Tablety;2;16;false
4564;Urządzenia wskazujące;2;17;false
253039;Usługi;2;18;false
77753;Pozostałe;2;19;false
253498;Akcesoria samochodowe;3;0;false
18903;Chemia;3;1;false
18553;Części do innych pojazdów;3;2;false
99022;Części do maszyn;3;3;false
156;Części motocyklowe;3;4;false
620;Części samochodowe;3;5;false
4079;Inne pojazdy i łodzie;3;6;false
252942;Maszyny;3;7;false
5557;Motocykle i quady;3;8;false
18554;Narzędzia i sprzęt warsztatowy;3;9;false
99193;Opony;3;10;false
18528;Przyczepy, naczepy;3;11;false
149;Samochody;3;12;false
253037;Usługi;3;13;false
252975;Abonamenty;4;0;false
348;Akcesoria GSM;4;1;false
78075;Karty pamięci;4;2;false
252023;Powerbanki;4;3;false
441;Pre-paid;4;4;false
446;Radiokomunikacja;4;5;false
250722;Smartwatch;4;6;false
165;Telefony komórkowe;4;7;false
240;Urządzenia stacjonarne;4;8;false
251980;Złote numery;4;9;false
28260;Pozostałe;4;10;false
253044;Usługi;4;11;false
1520;Budownictwo i Akcesoria;5;0;false
522;Meble;5;1;false
